Model Name;Range (km);Efficiency (Wh/km);Fast Charge (km/h);Brand
Tesla Model Y Long Range Dual Motor;435;172;670;Tesla
Tesla Model 3;380;151;630;Tesla
Tesla Model Y ;345;167;580;Tesla
Tesla Model 3 Long Range Dual Motor;485;155;750;Tesla
BYD ATTO 3;320;188;300;BYD
MG MG4 Electric 64 kWh;365;169;450;MG
Tesla Model S Plaid;550;173;770;Tesla
BMW i4 eDrive40;470;172;730;BMW
BMW iX xDrive40;360;197;480;BMW
Tesla Model Y Performance;415;181;640;Tesla
Kia Niro EV ;380;171;380;Kia
BMW iX1 xDrive30;355;182;510;BMW
Mercedes EQS 450+;640;168;960;Mercedes
Mercedes EQE 350+;525;173;780;Mercedes
Hongqi E-HS9 99 kWh;355;254;410;Hongqi
BYD HAN ;465;178;450;BYD
Audi Q8 e-tron 55 quattro;495;214;670;Audi
Kia EV6 GT;370;200;970;Kia
Tesla Model S Dual Motor;570;167;790;Tesla
Lexus RZ 450e;310;206;460;Lexus
Skoda Enyaq iV 80;420;183;530;Skoda
BMW i7 xDrive60;510;199;760;BMW
Hyundai IONIQ 6 Long Range AWD;440;168;1150;Hyundai
Hyundai Kona Electric 64 kWh;395;162;370;Hyundai
Audi Q4 e-tron 40;405;189;510;Audi
Smart #1;350;183;520;Smart
Nissan Ariya 87kWh;445;196;530;Nissan
BMW iX xDrive50;505;208;680;BMW
Tesla Model 3 Performance;460;163;710;Tesla
Dacia Spring Electric 45;165;152;180;Dacia
BMW iX3;385;192;520;BMW
BMW i4 M50;435;186;670;BMW
Volkswagen ID. Buzz Pro;330;233;460;Volkswagen
BMW i4 eDrive35;400;168;540;BMW
Audi e-tron GT RS;405;210;1000;Audi
Renault Megane E-Tech EV60 220hp;360;167;500;Renault
MG ZS EV Long Range;365;187;410;MG
Fiat 500e Hatchback 42 kWh;235;159;390;Fiat
Mercedes EQC 400 4MATIC;370;216;440;Mercedes
BYD TANG ;350;240;330;BYD
Renault Zoe ZE50 R110;315;165;230;Renault
Kia EV6 Long Range 2WD;410;180;1070;Kia
Volkswagen ID.4 Pro;410;188;520;Volkswagen
Mercedes EQS 580 4MATIC;605;178;900;Mercedes
Hyundai IONIQ 6 Long Range 2WD;475;156;1240;Hyundai
MG MG4 Electric 51 kWh;300;169;340;MG
Peugeot e-208;285;158;460;Peugeot
Toyota bZ4X FWD;335;191;500;Toyota
Volkswagen ID.4 Pro Performance;410;188;520;Volkswagen
Hyundai Kona Electric 65 kWh;400;164;410;Hyundai
Fisker Ocean One;510;196;730;Fisker
Lucid Air Dream Edition R;685;172;870;Lucid
MG MG5 Electric Long Range;335;171;330;MG
Hyundai IONIQ 5 Long Range 2WD;390;190;1020;Hyundai
Nissan Leaf ;235;166;230;Nissan
Opel Astra Electric;310;164;500;Opel
Volkswagen ID.4 Pure;285;182;360;Volkswagen
Tesla Model X Plaid;455;209;630;Tesla
Skoda Enyaq iV 60;325;178;440;Skoda
Mini Cooper SE ;180;161;260;Mini
Audi Q8 e-tron Sportback 55 quattro;525;202;710;Audi
Hyundai IONIQ 6 Standard Range 2WD;360;150;880;Hyundai
Kia EV6 Long Range AWD;400;185;1050;Kia
BMW iX M60;485;217;650;BMW
Volkswagen ID.3 Pro Performance;350;166;470;Volkswagen
CUPRA Born 150 kW - 58 kWh;350;166;470;CUPRA
Mercedes EQB 350 4MATIC;335;199;480;Mercedes
Jeep Avenger Electric 1st Edition;295;172;470;Jeep
Mazda MX-30;170;176;210;Mazda
Porsche Taycan Turbo S;400;209;980;Porsche
CUPRA Born 170 kW - 77 kWh;450;171;570;CUPRA
Jeep Avenger Electric ;300;169;480;Jeep
Rolls-Royce Spectre ;455;220;540;Rolls-Royce
Volvo XC40 Recharge Single Motor;345;191;420;Volvo
Tesla Model X Dual Motor;470;202;650;Tesla
Subaru Solterra AWD;320;200;480;Subaru
Polestar 2 Long Range Single Motor;440;177;680;Polestar
Renault Zoe ZE50 R135;310;168;230;Renault
Audi Q4 e-tron 35;285;182;360;Audi
Renault Twingo Electric;130;164;-;Renault
Mercedes EQE 300;515;173;650;Mercedes
Citroen e-C4;265;170;420;Citroen
Hyundai IONIQ 5 Standard Range 2WD;295;183;720;Hyundai
Mercedes EQB 250;345;193;500;Mercedes
Volkswagen ID.5 Pro;430;179;540;Volkswagen
MG Marvel R ;335;194;400;MG
Audi Q8 e-tron 50 quattro;415;214;580;Audi
Hyundai IONIQ 5 Long Range AWD;385;192;1010;Hyundai
Peugeot e-2008 SUV;255;176;410;Peugeot
Citroen e-C4 X;265;170;420;Citroen
Lotus Eletre ;520;206;1090;Lotus
Audi e-tron GT quattro;420;202;1030;Audi
Volvo XC40 Recharge Twin Motor;390;203;580;Volvo
Mercedes EQA 250+;375;188;520;Mercedes
Polestar 3 Long Range Dual motor;490;218;640;Polestar
Opel Mokka-e ;255;176;410;Opel
Dacia Spring Electric 65 Extreme;160;156;170;Dacia
Porsche Taycan ;410;173;1010;Porsche
Mercedes EQE SUV 350+;470;193;700;Mercedes
Nissan Leaf e+;340;174;240;Nissan
Opel Corsa-e ;285;158;460;Opel
Volvo XC40 Recharge Single Motor ER;405;195;600;Volvo
Volkswagen ID.5 GTX;405;190;560;Volkswagen
NIO EL7 100 kWh;430;209;450;NIO
Volkswagen e-Up! ;205;158;170;Volkswagen
Skoda Enyaq Coupe iV 80;445;173;560;Skoda
Audi SQ8 e-tron;445;238;600;Audi
Audi Q4 e-tron 50 quattro;385;199;490;Audi
Jaguar I-Pace EV400;380;223;360;Jaguar
Hyundai Kona Electric 39 kWh;250;157;220;Hyundai
Polestar 2 Standard Range Single Motor;385;174;620;Polestar
Skoda Enyaq Coupe iV RS;405;190;560;Skoda
Fisker Ocean Sport;380;197;480;Fisker
XPENG P7 RWD Long Range;500;165;700;XPENG
NIO ET7 75 kWh;400;176;540;NIO
Peugeot e-308;310;165;460;Peugeot
Fisker Ocean Ultra;505;198;730;Fisker
Mercedes EQS SUV 580 4MATIC;485;224;630;Mercedes
NIO ET5 100 kWh;495;182;520;NIO
Smart EQ fortwo coupe;100;167;-;Smart
MG ZS EV Standard Range;270;181;260;MG
Lexus UX 300e;235;191;150;Lexus
MG Marvel R Performance;330;197;390;MG
Volkswagen ID.5 Pro Performance;430;179;540;Volkswagen
Volkswagen ID.3 Pro S - 4 Seats;450;171;570;Volkswagen
SsangYong Korando e-Motion;290;193;330;SsangYong
Volkswagen ID.4 GTX;400;193;560;Volkswagen
Lucid Air Grand Touring;665;168;840;Lucid
Honda e Advance;170;168;180;Honda
Mercedes EQV 300 Long;305;295;310;Mercedes
VinFast VF 9 Extended Range;520;237;520;VinFast
Polestar 2 Long Range Dual Motor;420;186;650;Polestar
Nissan Ariya e-4ORCE 87kWh;420;207;500;Nissan
Abarth 500e Scorpionissima;225;166;370;Abarth
Smart #1 Brabus;335;191;500;Smart
Lucid Air Pure;560;157;980;Lucid
Volvo EX90 Twin Motor Performance;440;243;570;Volvo
Mercedes EQS AMG 53 4MATIC+;565;191;840;Mercedes
Maserati GranTurismo Folgore;425;195;990;Maserati
Mercedes EQB 300 4MATIC;335;199;480;Mercedes
Mercedes EQE AMG 43 4MATIC;485;187;720;Mercedes
Volvo C40 Recharge Twin Motor;400;198;600;Volvo
Genesis GV60 Premium;390;190;1020;Genesis
Ford Mustang Mach-E ER RWD;455;200;400;Ford
XPENG G9 RWD Long Range;470;200;980;XPENG
Volvo C40 Recharge Single Motor ER;420;188;630;Volvo
Volvo EX90 Twin Motor;455;235;590;Volvo
Renault Megane E-Tech EV60 130hp;365;164;510;Renault
Mercedes EQA 250;355;187;510;Mercedes
Toyota bZ4X AWD;330;194;490;Toyota
Porsche Taycan 4S;395;180;970;Porsche
Skoda Enyaq iV 80x;400;193;500;Skoda
Hyundai Kona Electric 48 kWh;300;161;290;Hyundai
Nissan Ariya 63kWh;320;197;430;Nissan
ORA Funky Cat 48 kWh;260;175;240;ORA
Fisker Ocean Extreme;510;196;730;Fisker
Polestar 3 Long Range Performance;470;228;610;Polestar
Mercedes EQA 350 4MATIC;350;190;500;Mercedes
Mercedes EQE 500 4MATIC;500;181;750;Mercedes
Renault Megane E-Tech EV40 130hp;250;160;360;Renault
Porsche Taycan 4 Cross Turismo;425;197;1050;Porsche
Aiways U5;315;190;380;Aiways
Opel Astra Sports Tourer Electric;300;169;480;Opel
NIO ET7 100 kWh;505;178;530;NIO
XPENG P7 Wing Edition;465;178;650;XPENG
Mercedes EQE SUV 500 4MATIC;455;199;680;Mercedes
Peugeot e-308 SW;300;170;450;Peugeot
JAC iEV7s;225;173;160;JAC
Mercedes EQS 500 4MATIC;605;178;900;Mercedes
Genesis GV70 Electrified Sport;350;211;860;Genesis
Mercedes EQS SUV 450+;495;219;650;Mercedes
Mercedes EQE AMG 53 4MATIC+;480;189;720;Mercedes
Kia EV6 Standard Range 2WD;305;177;750;Kia
Hongqi E-HS9 84 kWh;305;251;420;Hongqi
Mercedes EQA 300 4MATIC;350;190;500;Mercedes
Porsche Taycan Plus;475;176;1170;Porsche
Renault Kangoo E-Tech Electric;215;205;230;Renault
Audi Q4 e-tron 45 quattro;385;199;490;Audi
Aiways U6;350;171;430;Aiways
Volvo C40 Recharge Single Motor;355;186;430;Volvo
Ford Mustang Mach-E ER AWD;440;207;390;Ford
Volkswagen ID.4 Pro 4MOTION;405;190;510;Volkswagen
Mercedes EQE 350 4MATIC;500;181;750;Mercedes
Audi Q4 Sportback e-tron 40;425;180;540;Audi
Fiat 500e Hatchback 24 kWh;135;158;230;Fiat
Fiat 500e 3+1 42 kWh;235;159;390;Fiat
DS 3 E-Tense;300;169;480;DS
Volkswagen ID.4 Pure Performance;285;182;360;Volkswagen
XPENG G9 AWD Long Range;440;214;920;XPENG
Ford Mustang Mach-E GT;425;214;380;Ford
Ford Mustang Mach-E SR RWD;355;197;370;Ford
Mercedes EQS SUV 450 4MATIC;485;224;630;Mercedes
MG MG5 Electric Standard Range;265;174;320;MG
Porsche Taycan 4S Plus;460;182;1130;Porsche
Genesis G80 Electrified Luxury;440;188;880;Genesis
Polestar 2 Long Range Performance;410;190;630;Polestar
Lucid Air Dream Edition P;645;183;820;Lucid
Kia e-Soul 64 kWh;370;173;350;Kia
CUPRA Born 110 kW - 45 kWh;275;164;410;CUPRA
Mercedes EQE SUV 350 4MATIC;455;199;680;Mercedes
Mercedes EQE SUV AMG 53 4MATIC+;425;213;630;Mercedes
NIO ET5 75 kWh;395;178;530;NIO
Fiat 500e 3+1 24 kWh;135;158;230;Fiat
Lucid Air Touring;550;160;960;Lucid
Lotus Eletre R;450;238;940;Lotus
Porsche Taycan GTS;450;186;1110;Porsche
Mercedes EQS 450 4MATIC;615;175;920;Mercedes
Audi Q4 Sportback e-tron 50 quattro;400;192;500;Audi
Audi Q8 e-tron Sportback 50 quattro;440;202;610;Audi
Porsche Taycan Turbo;415;202;1020;Porsche
Citroen e-Berlingo M 50 kWh;200;225;320;Citroen
Smart EQ fortwo cabrio;95;176;-;Smart
Seres 3;260;196;240;Seres
CUPRA Born 170 kW - 58 kWh;345;168;460;CUPRA
Mercedes EQS SUV 500 4MATIC;485;224;630;Mercedes
Mini Cooper SE Convertible;170;170;240;Mini
Audi SQ8 e-tron Sportback;470;226;630;Audi
Skoda Enyaq Coupe iV 60;335;173;450;Skoda
Peugeot e-Rifter Long 50 kWh;195;231;310;Peugeot
Skoda Enyaq Coupe iV 80x;430;179;540;Skoda
XPENG G9 RWD Standard Range;375;200;780;XPENG
XPENG P7 AWD Performance;470;176;650;XPENG
Mercedes EQE 350;515;173;650;Mercedes
Audi Q4 Sportback e-tron 35;295;176;370;Audi
Genesis GV60 Sport;380;195;990;Genesis
VinFast VF 8 Plus Standard Range;400;205;560;VinFast
VinFast VF 9 Standard Range;400;230;540;VinFast
Mercedes EQB 250+;365;193;490;Mercedes
Toyota PROACE Verso M 75 kWh;265;257;290;Toyota
Toyota Proace City Verso Electric L1 50 kWh;205;220;330;Toyota
Fiat 500e Cabrio 42 kWh;230;162;380;Fiat
ORA Funky Cat GT;330;180;230;ORA
Peugeot e-Expert Combi Standard 75 kWh;265;257;290;Peugeot
ORA Funky Cat 63 kWh;340;174;240;ORA
Mercedes EQV 300 Extra-Long;305;295;310;Mercedes
Skoda Enyaq iV RS;390;197;540;Skoda
Ford Mustang Mach-E SR AWD;345;203;360;Ford
Porsche Taycan Sport Turismo;380;187;930;Porsche
Kia e-Soul 39.2 kWh;230;170;200;Kia
Porsche Taycan 4S Cross Turismo;425;197;1050;Porsche
Audi Q4 Sportback e-tron 45 quattro;400;192;500;Audi
Opel Zafira-e Life L 75 kWh;260;262;280;Opel
Mercedes eVito Tourer Long 90 kWh;310;290;310;Mercedes
Porsche Taycan Turbo S Sport Turismo;395;212;970;Porsche
Opel Combo-e Life 50 kWh;200;225;320;Opel
Opel Vivaro-e Combi M 75 kWh;265;257;290;Opel
Toyota PROACE Verso L 75 kWh;260;262;280;Toyota
Peugeot e-Rifter Standard 50 kWh;200;225;320;Peugeot
Mercedes EQE SUV AMG 43 4MATIC;435;208;650;Mercedes
Peugeot e-Traveller Standard 50 kWh;180;250;290;Peugeot
Peugeot e-Expert Combi Long 75 kWh;260;262;280;Peugeot
Porsche Taycan Plus Sport Turismo;445;188;1090;Porsche
Mercedes eVito Tourer Extra-Long 90 kWh;305;295;310;Mercedes
Porsche Taycan Turbo S Cross Turismo;385;217;950;Porsche
Toyota Proace City Verso Electric L2 50 kWh;200;225;320;Toyota
Genesis GV60 Sport Plus;365;203;950;Genesis
Fiat 500e Cabrio 24 kWh;135;158;230;Fiat
Citroen e-Berlingo XL 50 kWh;195;231;310;Citroen
Fiat E-Ulysse L3 75 kWh;260;262;280;Fiat
Porsche Taycan GTS Sport Turismo;425;197;1050;Porsche
VinFast VF 8 Eco Standard Range;405;202;560;VinFast
NIO EL7 75 kWh;340;207;460;NIO
Citroen e-Jumpy Combi M 75 kWh;265;257;290;Citroen
Mercedes EQV 250 Long;205;293;190;Mercedes
Toyota PROACE Shuttle M 75 kWh;260;262;280;Toyota
VinFast VF 8 Eco Extended Range;425;206;550;VinFast
Porsche Taycan 4S Plus Sport Turismo;430;195;1060;Porsche
Citroen e-SpaceTourer M 50 kWh;180;250;290;Citroen
Porsche Taycan Turbo Cross Turismo;400;209;980;Porsche
Peugeot e-Traveller Long 75 kWh;260;262;280;Peugeot
Citroen e-Jumpy Combi M 50 kWh;180;250;290;Citroen
Porsche Taycan Turbo Sport Turismo;405;207;1000;Porsche
Opel Combo-e Life XL 50 kWh;195;231;310;Opel
Fiat E-Ulysse L2 50 kWh;180;250;290;Fiat
Porsche Taycan 4S Sport Turismo;370;192;910;Porsche
Citroen e-SpaceTourer M 75 kWh;265;257;290;Citroen
VinFast VF 8 Plus Extended Range;425;206;550;VinFast
Fiat E-Ulysse L2 75 kWh;265;257;290;Fiat
Toyota PROACE Shuttle L 50 kWh;175;257;280;Toyota
Peugeot e-Expert Combi Long 50 kWh;175;257;280;Peugeot
Citroen e-Jumpy Combi XL 75 kWh;260;262;280;Citroen
Toyota PROACE Shuttle M 50 kWh;175;257;280;Toyota
Peugeot e-Traveller Standard 75 kWh;265;257;290;Peugeot
Opel Zafira-e Life M 50 kWh;180;250;290;Opel
Mercedes eVito Tourer Long 60 kWh;210;286;310;Mercedes
Toyota PROACE Shuttle L 75 kWh;260;262;280;Toyota
Opel Vivaro-e Combi L 75 kWh;260;262;280;Opel
Peugeot e-Traveller Long 50 kWh;175;257;280;Peugeot
Opel Vivaro-e Combi M 50 kWh;180;250;290;Opel
Citroen e-SpaceTourer XL 75 kWh;260;262;280;Citroen
Opel Zafira-e Life M 75 kWh;265;257;290;Opel
Opel Zafira-e Life L 50 kWh;175;257;280;Opel
Opel Vivaro-e Combi L 50 kWh;175;257;280;Opel
Fiat E-Ulysse L3 50 kWh;175;257;280;Fiat
Mercedes EQV 250 Extra-Long;205;293;190;Mercedes
Peugeot e-Expert Combi Standard 50 kWh;180;250;290;Peugeot
Citroen e-Jumpy Combi XL 50 kWh;175;257;280;Citroen
Mercedes eVito Tourer Extra-Long 60 kWh;205;293;300;Mercedes
Citroen e-SpaceTourer XL 50 kWh;175;257;280;Citroen